clean_text,sentiment,source
since asia consider pretty picky comes tea coworker mine gave tea find extremely bitter never add sugar tea good quality green tea still shouldnt taste like tea finish box doesnt go waste definitely wouldnt buy tea future,Negative,Amazon
every product come along seems perfectly unsuccessful marvel actually went production love cook experimentation ive misses along hits something valuable acknowledging misses weird bitter almost burnt taste merges unharmoniously vague dry smoky chipotle note tomato flavor whatsoever previous jocular review cited flavor human hair sadly far dislike crackers taste ill try make best slathering cream cheese beyond cream cheeses redemptive powers theyre first cracker ever ive thrown garbage mary really gone crackers bringing market totally suck,Negative,Amazon
counting big bag salted macadamias shame research nuts taste great known werent salted wouldnt made purchase wont say deceptive description looking mauna loa style dry roasted salted nuts order product product page indicate unsalted,Negative,Amazon
person involved health nutrition average person also purchased raw food bars happy offered though amazon vine program glady ordered sample tastes good claims contain nothing cooked nothing processed simple truth bar contains agave nectar occur naturally unprocessed fact highly cooked processed sweetener derived processing cooking core blue agave plant many hours order break starches sugars agave nectar originally touted healthy alternative table sugar potentially much worse table sugar body essentially super high fructose syrup like high fructose corn syrup much higher fructose content typical high fructose corn syrup used soft drinks fructose agave nectar contains whopping fructose first dont understand thought needed sweeten raw bar second used agave nectar sounds good uninformed raw ingredient high fructose content think used agave nectar hide additional fructose sugar label controversy fructose particularly agave nectar may bad youyou research google agave nectar badand look entries foodrenegade nourishedkitchen livingfoodsyou also google fructose badcheck hits american journal clinical nutritionfructose particular high fructose corn syrup subjects much controversy today studies conclude appreciable difference sucrose fructose bodies course fructose component sucrose also studies indicate fructose may problematic regardless camp youre agave nectar hidden source fructose bar raw fact manufacturer bar claims nothing cooked nothing processed nothing short fraud,Negative,Amazon
get bad batch people seemed rate highly bland taste strangely enough whatever aroma almost chamomile peppermint actual tea yes tried different times steeping longer less water different temperatures better job replicating color tea flavor dont know else say,Negative,Amazon
expressed disappointment product advertised diced ended large chunks contacted vendor acknowleded wording error refunded payment looking forward getting diced figs well apricots vendor,Negative,Amazon
deep search mayonaise soy due soy allergy tried high hopes weird tangy taste good tangy love tangy goodso search continues,Negative,Amazon
disapointed purchase expiration date candy wasnt fresh milk chocolate white color like old exposed warm temperatures opened bags would recommend,Negative,Amazon
also bought bag ziwipeak dog food size texture treats bit small need give time id use real food treats save bunch money feeding boston terrier keep approx spend use treats,Negative,Amazon
someone enjoy sweet sour taste gummy might best choice enjoy sour candies lot surely one favorite taste sweet sour balanced also tastes artificial dont like chewy gummy definitely go one personally like wonka wonka sploshberries better,Negative,Amazon
today say goodbye beloved bella never heard chicken jerky treats various varieties made china linked kidney failure dogs would probably us andmy heart wouldnt brokendont buy spread word,Negative,Amazon
making home easy take cardboard soak till thoroughly squishy sprinkle cheese dust mushy texture almost flavorless cheese sauce makes repulsive meal cant imagine would market two servings obviously one serving container supposed share friend hope need fat cause get whopping grams eat whole thing im sure find something better tasting amount,Negative,Amazon
ok product description purchase page specifically states product made pardon created usa pretty tricky wording del monte company also producing milo products eg chicken jerky grilled chicken dont say either way well ordered three products two chicken immediately noticed chicken jerky grilled chicken package printed made china chosen feed dog anything made china since problems pet foods using products bit concerned claim sure understand del monte option put product line line made china advertise product created usa confusing dont trust packaging states usa hmmm real shame dogs love brand treats going use longer concern health,Negative,Amazon
paid k cups received second time happenedi didnt think first time wonder happens often even time,Negative,Amazon
cannot believe badly cans damaged box including one whose metal fliptab bent creating leak allowed juice spew plastic wrap ugh figure contact amazon see return cans damaged ones happy box small suprisingly heavy shipper probably dropped fell top packages truck shifting transit weightlike said heavy yet small marked outside food item fragile least marked heavy shipper warned,Negative,Amazon
nuts fresh id give stars could known given sit warehouse till get bought definitely stay away would returned opened already,Negative,Amazon
one pack give u full oz cups wroth moneyif coffee drinker waste money lam looking packs yell cups product description l found clearthat l gave one star,Negative,Amazon
shame quick delicious product single serving packets rip agree others use packets flavor canister oz water spoke someone nestecafe informed theyre longer carrying product canister im still hoping bring back customer demand,Negative,Amazon
im medifast number people use walden farms products keep fatcarbcalories like idiot went grocery store bought products raved wasnt cheapthis peanut spread yucky still fridge think something dont want waste expensive,Negative,Amazon
listing lists four types special k cereal receive order get alot different kelloggs cereals like mini wheats granola raisins go lean crunch listed special k listed want varity wanted special k smart start listed feel scammed misleading add,Negative,Amazon
disappointed eucalyptus leaves stale oreganolike smell ask local florist get fresh leaves,Negative,Amazon
terrible company dont use spent test cscs card online told sit another exam pay money,Negative,Trustpilot
must confused listing another single yes baked beans thought pack,Negative,Amazon
picked package sounded like raffle box instead tickets cans opened shocked would use box thats twice size needed without even stuffing air bags half cans dented ones would discard selecting grocery storei never problem ordering anything amazon whether theyre books grocery one disappointing felt like went grocery store filled random box unwanted dented old canned soups reconsider ordering something like next time,Negative,Amazon
like couscous eat hot food habanero powder habanero powder pure oz jar everything morning omelets sandwiches sugar desserts something hate even sugar gourmet baby,Negative,Amazon
goof ball happy find gluten free pasta positive reviews fast buying pack didnt notice made corn dislike corn heart besides slightly allergic tried though try make stupidly buying something tastes bad mean taste whatsoever thought would glutenfree alternative nice taste pasta instead got corn horror gratification pasta cravings sad fault read labels better would returned way heavy pay shipping sadly sad,Negative,Amazon
love vita cocos except one funny taste favorite,Negative,Amazon
worst jelly belly flops ever tried eat threw away cant believe anyone would sell product bad,Negative,Amazon
matter much stir minutes settles bottom drink reaching tastes like sand,Negative,Amazon
wasnt expecting anything spectacular positive reviews product made hopeful mixing ingredients foul smell filled kitchen poured batter waffle iron smell improved slightly hopeful yet texture resembled waffle taste bad spit immediately syrupwhipped cremefruit cover taste skip batter try atkins caramel chocolate nut roll instead tastes like baby ruth,Negative,Amazon
like trying various kinds energy drinks foods purchased box based reviewsif running race need boost would probably trickas taste bad persay good either taste exactly would imagine mixed strawberry jelly artificial banana flavor added bunch saltwhich leads often pack warm sweet salty goowhile appealing never ended appealing still box drawer probably stay,Negative,Amazon
treat perfect size training medium large dogs little big small dogs dogs like unless food freaks dont go insane subscribed get monthly delivery third time delivered one oz bag instead four oz bags amazon great sending replacement order company sent one bag canceling subscription,Negative,Amazon
really upset flavor product bought two cases spent person house eat dog higher expectations texture overall flavor bought hot spicy bbq varieties despite added flavoring pretty bland texture practically dusty chewy like jerky,Negative,Amazon
alvita tea weak tea inferior previous german brand carried,Negative,Amazon
like tea enjoy tea time time wife drinks cup work everynight like clock work bought box tea back still sitting cuppboard missing maybe like english breakfast tea drink bags cups horribleif kfilter brew certain loose tea wife uses time comes pretty good decent teas available kcups one,Negative,Amazon
worried buying gummy bears reaction lycasin eat sugar free candy time lycasin always fine reasonable doses ate little gummies got sick feel okay head fuzzy dizzy could see straight stand lie time also speech slurred flatulence toxic smelling like chemicals artificial flavors colors dont know dont care,Negative,Amazon
every time get box mac cheesea third noodles dont cook noodles getting done hard eat every bite hard noodle,Negative,Amazon
ive buying nearly years fiirst time son refused eat darker green usual problem texture chewier flavor wasnt good problem since vegetable son eats severe feeding issues taste texture different gagging pleased change,Negative,Amazon
bought two oz cans marked packing date expiration date coffee absolutely bland nothing like effendi order different vendor either stale canned might another possible explanation text either turkish german brand bought different vendor turkish english perhaps german market supposed bland doubt largest turkish community outside turkey would drink stuffi got full refund amazoni strongly recommend buy mehmet effendi another vendor make sure text turkish english,Negative,Amazon
buyers beware rip offthe earths best infant formula vermont organic produced exactly manufacturer microgram literally exact stuff repackaged marked depending upon buying go wal mart organic brand want formula youre throwing money away otherwise glad id bought one earths best realized,Negative,Amazon
dog hugo turned nose trying one bisquits gave friend dogs turned noses,Negative,Amazon
ordered lavender use ice cream stems leaves husks strain ice cream extracting lavender flavor cooking spreading two tablespoons trying pick dried flowers gave realizing nonflower debris total,Negative,Amazon
like compressed rawhide jack russel super efficient chewer tends last longer happy find couple hours able pick large sized pieces purchase,Negative,Amazon
didnt honor price listed called sent several emails complain stated computer glitch proceeded refund money week valentines day sending six orders royally screwed enough customer service experience honor price sold never order company ever,Negative,Amazon
vet suggested feed cat variety different flavors wet food keep becoming finiky turkey cheese dinner wouldnt touch even hours mix friskies salmon use rest turkey cans left,Negative,Amazon
usually love little treats ones got must sitting around amazon year really hard unedible give dog however expiration date expired sellby nov would say stonewalls needs move expiration date months,Negative,Amazon
ive buying kal stevia awhile good results decided go cheap buy lb stuff thinking would pretty much nope way weaker kal takes x much even though saved percent ill wasting money using product oh well ill use buy kal,Negative,Amazon
even though senseo states package pods used pod coffee makers false pods made mm diameter pod coffee makers coffee maker takes mm diameter pods senseo pods cannot used machine best pods use ones made starbucksamazon allow returned open one packages find diameter large used pod coffeemaker nowhere description sensio pods mention diameteron coffee pod products amazon require diameter pods specified,Negative,Amazon
disappointed size fig bars received gift past three times size bars ones received look like bite size fun size childrens size think misled image shown product think would helped show horizontal picture bar also maybe put description fun size fig bars people know normal size beon good note bars tasty make sure order correct size next time,Negative,Amazon
placed order online barry farms december th website stated orders would processed shipped within hours days initial order confirmation heard nothing company order would shipped emailed ask order january th responded january th days order placed stating one items backordered website specifically states hold orders backordered items called company told needed items without backordered items later january nd ensured would arrive received email january th informing order shipped without backordered items would receiving refund missing items however package arrive nd promised forcing purchase items elsewhere emailed merchant asked refund shipping charges since accept returns refused stating since error ups fault even though website says ship within days hold backordered items unacceptable behavior merchant able return items full refund minimum received refund shipping charges items longer need cannot use,Negative,Amazon
cookies pretty good gluten free high calories favor dont buy online arrived box cookie crumble every single cookie broken,Negative,Amazon
disappointed thisso much inspired write first reviewthis products labeling wrong called company stating cocoa caffeine cannot caffeine freethey said mg caffeine per tsp serving little good flavor takes tsp per serving tastes watered creamy required tbsp oz water wasnt sweet enough cut bitter assume preferred adding regular amount stevia better tastei suggest anyone give hills bros sugar free french vanilla cappuccino trybesides tasting great youll get mg max caffeine satisfying oz servingbon appetit,Negative,Amazon
seller expelled amazoncom wedding aniversary surprise wife absolutley disapointing roses tiny come box self kit mood ruined vendor things like damage amazoncoms reputation screening vendors publish sitepayed bucks lot worst flowers buy streetdont order vendor trow money trashdetailed prictures products uploaded judge,Negative,Amazon
presence bitter hazelnuts eclipses good nutty flavor majority wish way sniff bitter rancid ones buy,Negative,Amazon
ok tasted like sugar pina colada lit bit dissapointed maybe sugar free wasnt tasty good expected really tasted like watery sugar,Negative,Amazon
walkers products shortbread line wonderful highland oatcakes really really dry compensation dryness like taste thought trying new thing based walkers brand guess ill stick know shortbreadwalkers highland oatcakes nothing write home wouldnt recommend anyone,Negative,Amazon
unpacked box old wisconsin turkey snack bite sausage pieces put separate packages pantry shelf kept one open mouth watering first package consumed took another package pantry started wasnt much later following week noticed pretty unpleasant smell pantry thought sure rodent got trapped somehow probably died slowly rotting somewhere could see could find anything sort smell lasted scratched head wondered dead thing would eventually dry pretty soon whole place smelled like county landfill busy day well wasnt long went grab another bag turkey sausage gosh found hard way small emanating time bag sausage picked rotted inside totally putrid totally disgusting made stomach feel tad queasy took bag placed garbage cant wait till city oswego ks comes empties landfill fill stuff doubt ever buy sausages company,Negative,Amazon
package arrived promptly large tear packaging made mess floor weary buy wont eat opened food shipped,Negative,Amazon
bought amazon running sale subscribe save cheaper big pack twizzlers sold sams club taste nothing like twizzlers leave taste mouth needless say cancelled subscribe save pounds nasty tasting candy,Negative,Amazon
finished bag coffee whole coffee good stuff worthless bitter little flavor staying away bag,Negative,Amazon
truly desperate pizza need glutenfree product try one box time threw first box away thought bread machine malfunctioned friend tried second box realized yeast date consistency odd use lot glutenfree products great glad start one would thought gf diet would impossible overall experience awful,Negative,Amazon
dog treats toxic give pets even states bag irradiatedyour dog suffer kidney failure buy started using training treats dog within day horrible kidney bladder infection also reported deaths called treat buy anything made china,Negative,Amazon
sauce heavy tomato light curry flavor tried first time didnt like moment opened jar smells like indian spaghetti sauce doesnt taste much different wish fresh easy near best jar tikki masala sauce,Negative,Amazon
